text,label
Aku sangat bahagia hari ini,senang
Senang sekali bisa bertemu teman lama,senang
Hari ini semua berjalan lancar dan aku senang,senang
Aku tersenyum melihat prestasiku,senang
Pelajaran selesai dan aku merasa lega,senang
Mereka memberi kejutan ulang tahun padaku,senang
Cuaca indah dan aku merasa senang,senang
Aku mendapatkan nilai yang bagus,senang
Aku menari karena hatiku gembira,senang
Hati ini penuh sukacita,senang
Aku merasa sedih kehilangan mainan kesayangan,sedih
Malam ini aku menangis sendiri,sedih
Aku kecewa karena tidak lulus,sedih
Rindu membuatku terpuruk,sedih
Tidak ada yang mendengarkan keluhanku,sedih
Aku merasa kosong dan sendirian,sedih
Hatinya patah karena pengkhianatan,sedih
Aku kehilangan kesempatan penting,sedih
Kenangan itu membuatku sedih,sedih
Aku tidak mau mengulang hari yang menyakitkan,sedih
Aku marah karena dia berbohong,marah
Mereka bersikap tidak adil padaku,marah
Aku tidak tahan lagi dengan kelalaianmu,marah
Perkataan itu membuat aku jengkel,marah
Aku geram melihat ketidakjujuran,marah
Mereka merusak usahaku dan aku marah,marah
Jangan sentuh barangku seenaknya,marah
Aku merasa sangat kesal sekarang,marah
Aku takut pergi sendirian malam ini,takut
Suara aneh membuatku ketakutan,takut
Aku cemas menunggu hasil pemeriksaan,takut
Kegelapan membuatku merasa takut,takut
Aku takut kehilangan orang yang kucintai,takut
Bayangan itu membuatku bergidik,takut
Aku sangat mencintaimu,cinta
Hatiku penuh cinta untuk keluargaku,cinta
Senyumnya membuatku jatuh cinta,cinta
Aku rindu pelukanmu yang hangat,cinta
Kasih sayangmu memberi aku kekuatan,cinta
Aku bahagia saat bersamamu,cinta
Aku terkejut menerima kabar itu,terkejut
Kehadiranmu membuatku kaget,terkejut
Berita itu benar-benar membuatku tercengang,terkejut
Aku tidak menyangka dia datang hari ini,terkejut
Hasilnya membuatku terkejut,terkejut
Pagi ini aku pergi ke sekolah,netral
Aku makan nasi untuk sarapan,netral
Jadwalku hari ini seperti biasa,netral
Aku membaca buku di sore hari,netral
Hari ini aku bekerja sesuai rutinitas,netral
