,text,label
0,im feeling quite sad and sorry for myself but ill snap out of it soon,sadness
1,i feel like i am still looking at a blank canvas blank pieces of paper,sadness
2,i feel like a faithful servant,love
3,i am just feeling cranky and blue,anger
4,i can have for a treat or if i am feeling festive,joy
5,i start to feel more appreciative of what god has done for me,joy
6,i am feeling more confident that we will be able to take care of this baby,joy
7,i feel incredibly lucky just to be able to talk to her,joy
8,i feel less keen about the army every day,joy
9,i feel dirty and ashamed for saying that,sadness
10,i feel bitchy but not defeated yet,anger
11,i was dribbling on mums coffee table looking out of the window and feeling very happy,joy
12,i woke up often got up around am feeling pukey radiation and groggy,sadness
13,i was feeling sentimental,sadness
14,i walked out of there an hour and fifteen minutes later feeling like i had been beaten with a stick and then placed on the rack and stretched,sadness
15,i never stop feeling thankful as to compare with others i considered myself lucky because i did not encounter ruthless pirates and i did not have to witness the slaughter of others,joy
16,i didn t feel abused and quite honestly it made my day a little better,sadness
17,i know what it feels like he stressed glaring down at her as she squeezed more soap onto her sponge,anger
18,i also loved that you could really feel the desperation in these sequences and i especially liked the emotion between knight and squire as theyve been together in a similar fashion to batman and robin for a long time now,love
19,i had lunch with an old friend and it was nice but in general im not feeling energetic,joy
20,i just know to begin with i am going to feel shy about it,fear
21,i feel try to tell me im ungrateful tell me im basically the worst daughter sister in the world,sadness
22,i feel that it is something that will never really be resolved,joy
23,i just feel like all my efforts are in vain and a waste of time,sadness
24,i feel absolutely foolish for allowing myself to actually believe that this might be it for us the month weve been praying so hard for,sadness
25,i waited for an eternity for it to download and now im remembering a day when i had to wait to go to walmart to buy a whole cd just to hear one song and feeling kinda dumb with my impatience,sadness
26,i don t know if anybody will ever be able to feel how i feel or at least relate when everything is lost you find yourself missing and longing for it them,sadness
27,i feel as if i am the beloved preparing herself for the wedding,joy
28,i would feel i missed out on a wealth of treasures if i did not read,sadness
29,i finished the film i feel kind of regretful that i wasnt able to catch this on the big screen,sadness
30,i feel like im caring about my body not in just an attempt to be the right size but to feel good and have a full life,love
31,i feel so damaged i just want you to have care of me continuer,sadness
32,i have found in the past when i blog daily i have more to say and i get out my feelings and emotions in more creative ways,joy
33,i to candy factory it was clearly a tourist production line but it didn t feel unpleasant or hurried just well planned and professional an interesting and picturesque visit,sadness
34,i feel that i m so pathetic and downright dumb to let people in let them toy with my feelings and then leaving me to clean up this pile of sadness inside me,sadness
35,i am feeling very blessed today that they share such a close bond,joy
36,i constantly feel these fits of discontent,sadness
37,ive been consumed by guilt and other feelings of discontent,sadness
